features,coefs,probs
frank,-7.215240398494634,0.0007347535492608191
underwood,-4.442516691406296,0.011629453594355943
claire,-4.1813681390649995,0.015047698798628195
card,-4.168590222313964,0.015238261962216816
hoc,-3.9611996953652757,0.01868450036577642
spoiler,-2.7830702105999587,0.0582459156802201
doug,-2.7476405238896393,0.06022004291917158
conway,-2.615780337878921,0.06812970397454986
chapter,-2.3507694341434298,0.08700463314684825
walker,-2.112726539756326,0.10786600863470414
power,-2.108677236976868,0.10825629601046223
season,-1.972846970294593,0.12208342277343047
trailer,-1.8551243452203312,0.13527236205186804
removed,-1.79165434202157,0.14287001605962238
house,-1.7618473922122584,0.14655911791879994
clinton,-1.3717103658568701,0.2023436516437294
politics,-1.067969230138535,0.2557894722407945
party,-1.0590751092920365,0.2574862421827541
actor,-1.0295956491014606,0.2631625035317025
netflix,-0.9967021849326779,0.26959030501962616
real,-0.9874012764047374,0.2714256796956654
start,-0.9833545898129279,0.2722266670611985
talk,-0.975696105271484,0.27374660467299483
read,-0.7718052532866816,0.31608872316607106
play,-0.6889294455455045,0.33427126571559973
may,-0.6689747990769994,0.3387264384299778
hope,-0.6662273976903546,0.3393421035734465
win,-0.6410442984367503,0.3450105124705695
still,-0.6394243145472134,0.34537668546794764
th,-0.6387377647174712,0.3455319251120611
trump,-0.6367153639957612,0.3459894127918477
sure,-0.6311176367802046,0.3472571602695376
yeah,-0.6167836731237956,0.3505133077266871
life,-0.6151294133246269,0.3508899992044928
vp,-0.6138840726837024,0.3511736983637347
person,-0.6066464142426218,0.35282457517895904
started,-0.6003691980525937,0.354259231621162
look,-0.5911056740184346,0.3563812015774293
shot,-0.5908946033789867,0.35642961708592674
government,-0.5649176085727666,0.3624103852750138
keep,-0.5628633242003418,0.36288520095063453
plot,-0.5513379040832737,0.3655540607575381
another,-0.5356213227191382,0.369206760801544
political,-0.519141053048861,0.3730531061374797
day,-0.5146671362356975,0.3741000787539428
try,-0.5029993397045127,0.3768360721579729
term,-0.48620934182797315,0.3807869555256632
run,-0.4858971000539267,0.3808605812071431
fact,-0.47673595056031626,0.38302317863295543
interesting,-0.4748757794749217,0.38346286315771844
