features,coefs,probs
spoiler,-3.310273411564904,0.03522042751419591
season,-2.557993377315566,0.07189131509385137
www,-1.1574749801195636,0.2391263971405859
lot,-0.7330471808347455,0.32452640106826797
shot,-0.5706173522819816,0.36109438624055107
run,-0.5477353042066477,0.36638999515882364
trump,-0.5115931983266204,0.374820116980388
like,-0.49967778594911494,0.3776163932835174
way,-0.46849521505172664,0.3849724678082274
work,-0.4675364199394501,0.3851995054708314
really,-0.44269516317215174,0.39109895353388074
amp,-0.42863794511609454,0.3944516245565829
th,-0.4167073193501636,0.3973049275444934
people,-0.4122980716610617,0.39836121489934256
sure,-0.3948281676623923,0.4025555599452953
life,-0.39407432608604603,0.4027368756082718
real,-0.38677587407096253,0.4044936837214147
deleted,-0.37185226957702056,0.4080935238722025
guy,-0.3520473298054292,0.4128860371376099
ha,-0.3480661615080969,0.41385145029764153
seems,-0.3372521102618034,0.4164771263734196
maybe,-0.30882055027050453,0.42340265524352033
election,-0.3075264582244219,0.42371861689401386
though,-0.2828388243433469,0.4297579382983123
vote,-0.2824008007532849,0.42986528631168097
actually,-0.2788749810942262,0.430729610986308
political,-0.2591070869853757,0.4355832186481644
probably,-0.24953206685457557,0.43793867675866155
take,-0.24766902621207806,0.43839731411359895
anyone,-0.24425137846754524,0.43923893282145293
think,-0.24288780162658072,0.4395748206094816
something,-0.22758715038839442,0.44334753208382693
end,-0.22393479552448567,0.44424908410148023
every,-0.22330721863525213,0.44440403312777177
look,-0.22225713972306502,0.4446633222683126
doe,-0.2143350982617815,0.44662042188784057
want,-0.2110572617929297,0.4474306822508814
could,-0.19823446021819877,0.45060304138214535
mean,-0.1567225881530668,0.46089935262778436
see,-0.13974660090461613,0.46512009577080915
com,-0.12113192410284049,0.46975399309461924
make,-0.11632660022932231,0.47095109973828575
series,-0.09472994682809517,0.4763352074996877
show,-0.09122817755041011,0.4772087602473372
http www,-0.09102196040735247,0.4772602076571608
go,-0.0808562765832183,0.4797969365154667
still,-0.07081854255292759,0.48230276010734513
would,-0.06256011797419768,0.48436506946522856
going,0.034422810642737674,0.5086048529985026
feel,0.041229936937676466,0.5103060243349367
someone,0.05736533032262055,0.5143374010255608
even,0.058098609064571746,0.514520568043588
scene,0.06414703499882282,0.5160312619507041
much,0.07798584756977635,0.519486586778725
say,0.1355520045391829,0.533836207146124
day,0.15277050760356767,0.5381185189262601
around,0.16367437011262223,0.5408274882134871
know,0.1746264944003728,0.5435460206076437
well,0.17972988022785658,0.544811905671173
also,0.1946352120384029,0.5485057714689058
character,0.2548767893697207,0.5633764787264371
first,0.26723446126054085,0.5664138436711029
love,0.2930840093806625,0.5727509812870013
find,0.3751327426689788,0.5926986453526766
get,0.41465751684432767,0.6022041364435275
pretty,0.41614155111108436,0.6025595892766399
back,0.43943568940250477,0.6081245586157882
http,0.4501105516607629,0.6106655182755818
last,0.46189034159539033,0.6134625217936692
thought,0.4630135007666656,0.6137288183591234
question,0.46475356834262455,0.6141412470723049
come,0.4691291067903096,0.6151776069459101
new,0.4756361319369667,0.6167168827479809
always,0.48047601780086885,0.6178602731390863
one,0.5012960217501834,0.6227638527510151
watching,0.5147941959443048,0.6259296717004765
else,0.5172343505201028,0.6265008378886671
watched,0.5562570620531105,0.635586055132141
president,0.5670987692990657,0.6380934621595107
state,0.6310539577996688,0.6527284054994398
office,0.6338022671221043,0.6533511140899491
got,0.6533409555494608,0.6577629439459339
thing,0.6534663721938753,0.6577911760351635
ever,0.6973541654906579,0.6676008957809694
gt,0.7020473214488,0.6686415332850612
right,0.73149468108108,0.6751331843199695
year,0.7502451969864445,0.6792321240237856
never,0.7786383194908405,0.6853865664381531
made,0.8025147190250684,0.6905121467674382
good,0.8138975228684421,0.6929394203484538
great,0.8228418015131774,0.6948392424962672
time,0.9580250711588294,0.7227262172808364
best,0.9968679775193615,0.7304423401790328
two,1.1050502083716063,0.7512051660912531
part,1.1388734223075698,0.7574727379426822
watch,1.1628547241181897,0.7618510460503504
need,1.3218121659531987,0.7894830457150953
line,1.5333066476135029,0.8224896011941618
episode,1.7180245148211908,0.847874206348281
white,1.7885432330269764,0.8567485797527761
